Effective Date,Scheduled (BZ),Available (BZ),Operational (BZ),Design (BZ)
08/20/2018,792582,93418,886000,886000
08/19/2018,788521,97479,886000,886000
08/18/2018,780637,105363,886000,886000
08/17/2018,532577,353423,886000,886000
08/16/2018,538979,347021,886000,886000
08/15/2018,828234,57766,886000,886000
08/14/2018,829367,56633,886000,886000
08/13/2018,804895,81105,886000,886000
08/12/2018,787246,98754,886000,886000
08/11/2018,793743,92257,886000,886000
08/10/2018,760686,125314,886000,886000
08/09/2018,808217,77783,886000,886000
08/08/2018,780675,105325,886000,886000
08/07/2018,731296,154704,886000,886000
08/06/2018,513086,372914,886000,886000
08/05/2018,505486,380514,886000,886000
08/04/2018,176456,709544,886000,886000
08/03/2018,499393,607,500000,886000
08/02/2018,654421,231579,886000,886000
08/01/2018,667724,218276,886000,886000
07/31/2018,799544,86456,886000,886000
07/30/2018,790393,95607,886000,886000
07/29/2018,768334,117666,886000,886000
07/28/2018,783197,102803,886000,886000
07/27/2018,795202,90798,886000,886000
07/26/2018,790993,95007,886000,886000
07/25/2018,799793,86207,886000,886000
07/24/2018,793363,92637,886000,886000
07/23/2018,793297,92703,886000,886000
07/22/2018,801295,84705,886000,886000
07/21/2018,801297,84703,886000,886000
07/20/2018,777916,108084,886000,886000
07/19/2018,787212,98788,886000,886000
07/18/2018,802369,83631,886000,886000
07/17/2018,787252,98748,886000,886000
07/16/2018,791028,94972,886000,886000
07/15/2018,800942,85058,886000,886000
07/14/2018,790490,95510,886000,886000
07/13/2018,785216,100784,886000,886000
07/12/2018,779022,106978,886000,886000
07/11/2018,763663,122337,886000,886000
07/10/2018,799618,86382,886000,886000
07/09/2018,773586,112414,886000,886000
07/08/2018,764277,121723,886000,886000
07/07/2018,761886,124114,886000,886000
07/06/2018,780987,105013,886000,886000
07/05/2018,787566,98434,886000,886000
07/04/2018,787511,98489,886000,886000
07/03/2018,800149,85851,886000,886000
07/02/2018,802237,83763,886000,886000
07/01/2018,801912,84088,886000,886000
